id,outgoing,incoming,degree,pages,site
367,0,0,0,2,17476
368,0,0,0,1,17406
369,0,0,0,28,5465
370,6,0,0,8,17059
371,0,0,0,1,8707
372,0,0,0,28,7914
373,0,0,0,14,18218
374,0,0,0,6,18681
375,1,0,0,1,18604
376,0,0,0,28,7335
377,0,1,1,10,18800
378,0,0,0,2,18892
379,0,0,0,28,18560
380,13,0,0,26,5652
381,0,0,0,1,19203
382,0,0,0,28,19260
383,0,0,0,28,6807
384,0,0,0,10,5718
385,1,0,0,13,19767
386,1,0,0,8,19826
387,0,0,0,117,19834
388,13,0,0,26,19967
389,0,0,0,1,11608
390,0,0,0,313,14271
391,0,0,0,28,10961
392,0,0,0,1,20307
393,0,0,0,1,12825
394,0,2,2,20630,6634
395,0,0,0,28,15932
396,0,0,0,1,20819
397,0,0,0,28,10521
398,0,0,0,1,21518
399,0,0,0,2,14112
400,0,0,0,78,18966
401,0,0,0,46,10923
402,0,0,0,13,22040
403,0,0,0,1,22034
404,0,0,0,60,22427
405,0,0,0,28,14131
406,0,0,0,28,20155
407,0,0,0,28,19586
408,0,0,0,1,23505
409,0,0,0,1,17737
410,0,0,0,42,24083
411,0,0,0,28,24548
412,0,0,0,1,15626
413,0,0,0,1,25351
414,0,0,0,220,25257
415,10,0,0,30,25184
416,0,0,0,22,26083
417,0,0,0,28,26335
418,0,0,0,28,24174
419,0,0,0,7,26626
420,0,0,0,28,26956
421,13,0,0,20,27736
422,0,0,0,1,27737
423,0,0,0,21,27678
424,0,0,0,1,24855
425,0,0,0,28,27887
426,13,0,0,23,28171
427,0,0,0,1,28300
428,0,0,0,1,14933
429,0,0,0,1,28629
430,0,0,0,1,30216
431,0,0,0,31,28499
432,0,0,0,2,25262
433,13,0,0,29,29044
434,0,0,0,1,22413
435,0,0,0,2,17125
436,0,0,0,5,21764
437,1,0,0,5,24821
438,0,0,0,1,23161
439,13,0,0,31,27402
440,0,0,0,1,18006
441,0,0,0,19,16860
442,0,0,0,1,23340
443,0,0,0,28,20884
444,0,0,0,28,25212
445,0,0,0,28,25706
446,0,0,0,1,25325
447,0,0,0,1,17196
448,0,0,0,1,29969
449,0,0,0,31,24004
450,0,0,0,1,27154
451,0,0,0,148,25664
452,0,0,0,1,20572
453,0,0,0,1,26887
454,0,0,0,24,23166
455,1,0,0,57,20143
456,0,0,0,3,28958
457,0,0,0,11,27367
458,0,0,0,1,30512
459,0,0,0,1,17794
460,2,0,0,32,27635
461,0,0,0,5,20527
462,0,0,0,7,16983
463,0,0,0,28,30620
464,1,0,0,13,27999
465,0,0,0,1,30621
466,0,0,0,8,19495
467,0,0,0,28,23798
468,0,0,0,28,27600
469,0,0,0,2,21876
470,13,0,0,29,25900
471,0,0,0,1,20923
472,0,0,0,9,30012
473,0,0,0,1,21229
474,0,0,0,28,23492
475,0,0,0,28,31170
476,0,0,0,1,31530
477,0,0,0,324,20708
478,0,0,0,4,31544
479,10,0,0,20,19705
480,0,0,0,1,25792
481,0,0,0,1,28889
482,0,0,0,1,31242
483,0,0,0,8,31548
484,10,0,0,30,27094
485,10,0,0,26,25962
486,13,0,0,23,29001
487,0,0,0,4,26468
488,0,0,0,19,19732
489,0,0,0,28,29578
490,2,0,0,4,21067
491,13,0,0,22,21084
492,0,0,0,21,21504
493,0,0,0,28,31456
494,0,0,0,1,23664
495,0,0,0,3,25953
496,0,0,0,1,28284
497,0,0,0,1,28830
498,10,0,0,21,23619
499,4,0,0,6,27979
500,0,0,0,104,23515
501,0,0,0,144,26685
502,0,0,0,180,31440
503,0,0,0,6,18936
504,10,0,0,23,24055
505,0,0,0,23,31527
506,0,0,0,15,25835
507,0,0,0,28,25799
508,0,0,0,28,22254
509,0,0,0,28,18063
510,0,0,0,30,18250
511,0,0,0,21,23258
512,0,0,0,38,22372
513,0,0,0,28,22724
514,8,0,0,34,18264
515,0,0,0,28,19525
516,0,0,0,342,26800
517,0,0,0,28,19043
518,0,0,0,28,30118
519,0,0,0,2,23050
520,0,0,0,1,28075
521,0,0,0,28,25824
522,0,0,0,264,21812
523,0,0,0,142,23879
524,0,0,0,28,20064
525,0,0,0,28,22993
526,0,0,0,4,27985
527,0,0,0,28,29952
528,0,0,0,28,23143
529,0,0,0,1,31778
530,0,0,0,1,19719
531,0,0,0,1,24410
532,0,0,0,4,21617
533,0,0,0,1,21041
534,0,0,0,341,31174
535,13,0,0,34,31189
536,0,0,0,2,31801
537,0,0,0,28,24074
538,1,0,0,1,31865
539,0,0,0,2,29506
540,0,0,0,6,26369
541,0,0,0,28,23973
542,0,0,0,24,31800
543,0,0,0,1,26412
544,0,0,0,62,30500
545,0,0,0,28,23536
546,0,0,0,1,24835
547,0,0,0,2,32025
548,0,0,0,104,28693
549,0,0,0,28,32033
550,0,0,0,72,30547
551,0,0,0,4,31984
552,0,0,0,137,32168
553,0,0,0,1,22919
554,0,0,0,2,30020
555,10,0,0,31,27505
556,78,0,0,94,24106
557,0,0,0,70,25717
558,0,0,0,2,32312
559,0,0,0,28,29471
560,0,0,0,28,32231
561,0,0,0,1,32427
562,0,0,0,1,32415
563,0,0,0,391,32369
564,0,0,0,28,26766
565,0,0,0,28,24783
566,0,0,0,28,32645
567,0,0,0,1,31321
568,0,0,0,1,26794
569,0,0,0,23,22128
570,0,0,0,1,28488
571,0,0,0,92,32727
572,0,0,0,1,30686
573,0,0,0,23,32704
574,0,0,0,1,32766
575,0,0,0,59,22550
576,0,0,0,1,32871
577,13,0,0,25,32863
578,0,0,0,24,32679
579,0,0,0,28,32661
580,0,0,0,28,30667
581,0,0,0,28,32806
582,0,0,0,28,29147
583,0,0,0,2,32917
584,0,0,0,3,27511
585,0,0,0,81,32165
586,0,0,0,28,33072
587,0,0,0,1,27071
588,0,0,0,1,33209
589,0,0,0,458,33230
590,0,0,0,28,33315
591,0,0,0,74,33362
592,0,0,0,2,33041
593,0,0,0,27,25520
594,0,0,0,28,29549
595,0,0,0,28,23073
596,0,0,0,1,30438
597,0,0,0,2,33413
598,0,0,0,20,33494
599,0,0,0,1,33625
600,0,0,0,1,27047
601,0,0,0,3,23718
602,0,0,0,1,34176
603,0,0,0,1,21171
604,0,0,0,18,24877
605,0,0,0,28,34200
606,0,0,0,57,34229
607,0,0,0,28,33509
608,0,0,0,28,28078
609,4,0,0,5,29873
610,0,0,0,347,27048
611,0,0,0,11,34403
612,13,0,0,27,34549
613,0,0,0,1,24737
614,0,0,0,1,34744
615,0,0,0,1,33342
616,0,0,0,1,27102
617,0,0,0,28,34970
618,0,0,0,28,34975
619,0,0,0,28,35006
620,0,0,0,28,35045
621,0,0,0,28,25696
622,0,0,0,353,35262
623,0,0,0,28,27491
624,0,0,0,263,29716
625,0,0,0,28,35362
626,0,0,0,25,31630
627,0,0,0,28,33957
628,0,0,0,28,35084
629,0,0,0,13,31806
630,0,0,0,28,35547
631,0,0,0,28,35692
632,0,0,0,28,35359
633,0,0,0,1,24996
634,0,0,0,1,36077
635,0,0,0,28,36075
636,0,0,0,28,36411
637,0,0,0,28,34531
638,0,0,0,28,36078
639,0,0,0,5913,36057
640,0,0,0,1,36568
641,0,0,0,1,36768
642,0,0,0,45,36790
643,0,0,0,1,36880
644,1,0,0,3,37002
645,0,0,0,28,27813
646,0,0,0,1,37107
647,0,0,0,28,37092
648,0,0,0,2,37306
649,0,0,0,4,37339
650,0,0,0,1,37374
651,0,0,0,1,37469
652,0,0,0,28,37454
653,0,0,0,28,34803
654,0,0,0,28,37621
655,0,0,0,1,37715
656,0,0,0,263,37539
657,0,0,0,190,25692
658,10,0,0,31,37830
659,0,0,0,28,35377
660,0,0,0,11,38015
661,0,0,0,3,37997
662,0,0,0,4,37880
663,0,0,0,2,38134
664,0,0,0,108,37950
665,0,0,0,1,38096
666,4,0,0,5,38142
667,0,0,0,199,38220
668,13,0,0,28,37155
669,0,0,0,5,38559
670,0,0,0,1,38807
671,0,0,0,16,35178
672,0,0,0,1,35652
673,0,0,0,28,38942
674,5,0,0,10,38923
675,10,0,0,22,39115
676,0,0,0,24,33244
677,0,0,0,1,37917
678,0,0,0,81,39501
679,0,0,0,2,39549
680,0,0,0,1,39251
681,0,0,0,110,39472
682,0,0,0,28,39589
683,0,0,0,28,39808
684,0,0,0,24,39437
685,0,0,0,7,39952
686,0,0,0,28,39908
687,0,0,0,2,40149
688,0,0,0,28,37803
689,0,0,0,28,40035
690,0,0,0,1,40525
691,0,0,0,28,40845
692,0,0,0,4,40924
693,0,0,0,13,34168
694,0,0,0,28,34573
695,0,0,0,10,40962
696,0,0,0,92,41315
697,0,0,0,2,41115
698,0,0,0,25,41425
699,0,0,0,28,37453
700,0,0,0,2,41551
701,0,0,0,2,41671
702,0,0,0,192,41856
703,0,0,0,34,41181
704,0,0,0,1,42175
