Label,Source,Target
1781,501,5988
1782,501,5989
1783,501,539
1784,501,3926
1785,501,860
1786,501,6624
1787,501,3627
1788,501,1497
1789,501,6059
1790,501,781
1791,501,3844
1792,501,790
1793,501,6625
1794,501,6419
1795,501,6626
1796,501,305
1797,501,2808
1798,501,464
1799,501,6627
1800,501,1261
1801,501,2646
1802,501,2574
1803,501,3423
1804,501,1045
1805,501,3332
1806,501,6628
1807,501,6212
1808,501,6629
1809,501,6630
1810,501,6631
1811,501,6213
1812,501,468
1813,501,3255
1814,501,6632
1815,501,6633
1816,501,2251
1817,501,3881
1818,501,557
1819,501,6051
1820,501,186
1821,501,6634
1822,501,6183
1823,501,4950
1824,501,157
1825,501,6635
1826,501,3031
1827,501,2731
1828,501,6186
1829,501,6187
1830,501,6011
1831,501,5942
1832,501,1425
1833,501,6636
1834,501,1242
1835,501,6637
1836,501,2138
1837,501,6638
1838,501,955
1839,501,935
1840,501,6639
1841,501,6640
1842,501,2287
1843,501,6641
1844,501,6642
1845,501,6643
1846,501,6644
1847,501,593
1848,501,3680
1849,501,3571
1850,501,2768
1851,501,904
1852,501,6178
1853,501,355
1854,501,3749
1855,501,3014
1856,501,2098
1857,501,6079
1858,501,6080
1859,501,3261
1860,501,6645
1861,501,6092
1862,501,6093
1863,501,401
1864,501,3764
1865,501,5997
1866,501,6502
1867,501,1286
1868,501,3663
1869,501,3379
1870,501,6646
1871,501,2813
1872,501,5251
1873,501,1038
1874,501,2198
1875,501,2099
1876,501,3587
1877,501,1641
1878,501,2206
1879,501,1826
1880,501,2263
1881,501,3215
1882,501,977
1883,501,3157
1884,501,1475
1885,501,6647
1886,501,6648
1887,501,6649
1888,501,6650
1889,501,924
1890,501,3669
1891,501,1141
1892,501,2691
1893,501,3388
1894,501,6651
1895,501,3329
1896,501,107
1897,501,1358
1898,501,3538
1899,501,6652
1900,501,3419
1901,501,4629
1902,501,2979
1903,501,4628
1904,501,6653
1905,501,6654
1906,501,6655
1907,501,6656
1908,501,6657
1909,501,6658
1910,501,6214
1911,501,6659
1912,501,3259
1913,501,2982
1914,501,2026
1915,501,451
1916,501,321
1917,501,3874
1918,501,3172
1919,501,6660
1920,501,6661
1921,501,6662
1922,501,1027
1923,501,3620
1924,501,6663
1925,501,2166
1926,501,659
1927,501,540
1928,501,2553
1929,501,1207
1930,501,6664
1931,501,1840
1932,501,2828
1933,501,571
1934,501,2620
1935,501,1944
1936,501,1307
1937,501,3214
1938,501,1567
1939,501,6665
